"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"4705","sq370","MM_TEMP_G4_",0.000768524646158444,"MM_TEMP_G4_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae",NA,NA
"4706","sq1243","MM_TEMP_G4_",0.000768524646158444,"MM_TEMP_G4_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria","Phylum_Proteobacteria",NA,NA
"4707","sq2275","MM_TEMP_6_",0.000767574007881954,"MM_TEMP_6_","Temp",26,"",5,FALSE,"Bacteria","Patescibacteria","Gracilibacteria","Class_Gracilibacteria","Class_Gracilibacteria",NA,NA
"4708","sq954","MM_TEMP_9_",0.000767375575531682,"MM_TEMP_9_","Temp",29,"",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Order_Rhodospirillales",NA,NA
"4709","sq3215","MM_TEMP_4_",0.000766999832218786,"MM_TEMP_4_","Temp",26,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Fodinicurvataceae",NA,NA
"4710","sq3108","MM_TEMP_8_",0.000766031954475815,"MM_TEMP_8_","Temp",26,"",5,FALSE,"Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Order_Campylobacterales",NA,NA
"4711","sq717","MM_TEMP_8_",0.000766031954475815,"MM_TEMP_8_","Temp",26,"",5,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae",NA,NA
"4712","sq156","MM_TEMP_11_",0.000764409111756612,"MM_TEMP_11_","Temp",29,"",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","ML635J-40 aquatic group",NA,NA
"4713","sq172","MM_TEMP_11_",0.000764409111756612,"MM_TEMP_11_","Temp",29,"",1,FALSE,"Bacteria","Bacteroidota","Rhodothermia","Rhodothermales","Rhodothermaceae",NA,NA
"4714","sq607","MM_TEMP_G3_",0.000763513058318924,"MM_TEMP_G3_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae",NA,NA
"4715","sq1369","MM_TEMP_G11_",0.00076157319262362,"MM_TEMP_G11_","Temp",31,"",3,FALSE,"Bacteria","NB1-j","Phylum_NB1-j","Phylum_NB1-j","Phylum_NB1-j",NA,NA
"4716","sq4515","MM_TEMP_G11_",0.00076157319262362,"MM_TEMP_G11_","Temp",31,"",3,FALSE,"Bacteria","Verrucomicrobiota","Lentisphaeria","Oligosphaerales","Oligosphaeraceae",NA,NA
"4717","sq3096","MM_TEMP_G8_",0.00076119839953157,"MM_TEMP_G8_","Temp",31,"",1,FALSE,"Bacteria","Myxococcota","Phylum_Myxococcota","Phylum_Myxococcota","Phylum_Myxococcota",NA,NA
"4718","sq5612","MM_TEMP_G10_",0.000760638936706834,"MM_TEMP_G10_","Temp",31,"",3,FALSE,"Bacteria","Patescibacteria","Gracilibacteria","Candidatus Peribacteria","Order_Candidatus Peribacteria",NA,NA
"4719","sq763","MM_TEMP_G10_",0.000760638936706834,"MM_TEMP_G10_","Temp",31,"",3,FALSE,"Bacteria","Myxococcota","Polyangia","Haliangiales","Haliangiaceae",NA,NA
"4720","sq923","MM_TEMP_G1_",0.00075856227164115,"MM_TEMP_G1_","Temp",29,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","Order_Thalassobaculales",NA,NA
"4721","sq621","MM_TEMP_5_",0.000757868457811989,"MM_TEMP_5_","Temp",26,"",3,FALSE,"Bacteria","Firmicutes","Bacilli","Izemoplasmatales","Izemoplasmataceae",NA,NA
"4722","sq3640","MM_TEMP_6_",0.000756117679406104,"MM_TEMP_6_","Temp",26,"",5,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Thioalkalispiraceae",NA,NA
"4723","sq301","MM_TEMP_H2_",0.000755857898715042,"MM_TEMP_H2_","Temp",31,"",5,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Cellvibrionaceae",NA,NA
"4724","sq1249","MM_TEMP_G2_",0.000755566520693271,"MM_TEMP_G2_","Temp",29,"",3,FALSE,"Bacteria","Acidobacteriota","Subgroup 21","Class_Subgroup 21","Class_Subgroup 21",NA,NA
"4725","sq365","MM_TEMP_G2_",0.000755566520693271,"MM_TEMP_G2_","Temp",29,"",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","NS9 marine group",NA,NA
"4726","sq425","MM_TEMP_G9_",0.000753522718709969,"MM_TEMP_G9_","Temp",31,"",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Cryomorphaceae",NA,NA
"4727","sq597","MM_TEMP_G9_",0.000753522718709969,"MM_TEMP_G9_","Temp",31,"",3,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae",NA,NA
"4728","sq988","MM_TEMP_G9_",0.000753522718709969,"MM_TEMP_G9_","Temp",31,"",3,FALSE,"Bacteria","Proteobacteria","Magnetococcia","Magnetococcales","Magnetococcaceae",NA,NA
"4729","sq269","MM_TEMP_G7_",0.000753441859403183,"MM_TEMP_G7_","Temp",31,"",1,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Ectothiorhodospirales","Ectothiorhodospiraceae",NA,NA
"4730","sq2754","MM_TEMP_H9_",0.000753192509158136,"MM_TEMP_H9_","Temp",33,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Order_Caulobacterales",NA,NA
"4731","sq43","MM_TEMP_H9_",0.000753192509158136,"MM_TEMP_H9_","Temp",33,"",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prolixibacteraceae",NA,NA
"4732","sq329","MM_TEMP_3_",0.000753125470703419,"MM_TEMP_3_","Temp",26,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","Order_Puniceispirillales",NA,NA
"4733","sq788","MM_TEMP_3_",0.000753125470703419,"MM_TEMP_3_","Temp",26,"",3,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Order_Pseudomonadales",NA,NA
"4734","sq1475","MM_TEMP_3_",0.000753125470703419,"MM_TEMP_3_","Temp",26,"",3,FALSE,"Bacteria","Marinimicrobia (SAR406 clade)","Phylum_Marinimicrobia (SAR406 clade)","Phylum_Marinimicrobia (SAR406 clade)","Phylum_Marinimicrobia (SAR406 clade)",NA,NA
"4735","sq2154","MM_TEMP_H4_",0.00075276496361636,"MM_TEMP_H4_","Temp",33,"",1,FALSE,"Bacteria","Verrucomicrobiota","Lentisphaeria","Oligosphaerales","Lenti-02",NA,NA
"4736","sq717","MM_TEMP_H4_",0.00075276496361636,"MM_TEMP_H4_","Temp",33,"",1,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Thiohalorhabdales","Thiohalorhabdaceae",NA,NA
"4737","sq333","MM_TEMP_H6_",0.000752124242793837,"MM_TEMP_H6_","Temp",33,"",3,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Saccharospirillaceae",NA,NA
"4738","sq207","MM_TEMP_G5_",0.000749129687568854,"MM_TEMP_G5_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Kiloniellales","Kiloniellaceae",NA,NA
"4739","sq329","MM_TEMP_G5_",0.000749129687568854,"MM_TEMP_G5_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Puniceispirillales","Order_Puniceispirillales",NA,NA
"4740","sq370","MM_TEMP_G5_",0.000749129687568854,"MM_TEMP_G5_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae",NA,NA
"4741","sq669","MM_TEMP_G5_",0.000749129687568854,"MM_TEMP_G5_","Temp",29,"",5,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","UBA10353 marine group","Order_UBA10353 marine group",NA,NA
"4742","sq354","MM_TEMP_12_",0.000748014883578196,"MM_TEMP_12_","Temp",29,"",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales Incertae Sedis",NA,NA
