"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"30","sq15","MM_Inield_G1_",0.0845016324178989,"MM_Inield_G1_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"31","sq15","MM_Inield_12_",0.0835554856738542,"MM_Inield_12_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"32","sq15","MM_Inield_9_",0.0828125719725469,"MM_Inield_9_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"33","sq15","MM_Inield_G5_",0.0814351616522965,"MM_Inield_G5_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"34","sq15","MM_Inield_1_",0.0813895511698954,"MM_Inield_1_","Field",NA,"ND",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"35","sq15","MM_Inield_G7_",0.0799362059110938,"MM_Inield_G7_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"36","sq8","MM_Inield_2_",0.0792101874374016,"MM_Inield_2_","Field",NA,"ND",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"37","sq15","MM_Inield_5_",0.0770685062725294,"MM_Inield_5_","Field",NA,"ND",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"38","sq14","MM_Inield_8_",0.0736496615636215,"MM_Inield_8_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"39","sq15","MM_Inield_11_",0.0732490377351703,"MM_Inield_11_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"40","sq15","MM_Inield_G3_",0.0731785634010853,"MM_Inield_G3_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"41","sq8","MM_Inield_G5_",0.0728610202652805,"MM_Inield_G5_","Field",NA,"HD",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"42","sq8","MM_Inield_4_",0.0725562420451959,"MM_Inield_4_","Field",NA,"ND",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"43","sq15","MM_Inield_G2_",0.0713546503914024,"MM_Inield_G2_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"44","sq15","MM_Inield_2_",0.0700720179329423,"MM_Inield_2_","Field",NA,"ND",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"45","sq14","MM_Inield_G4_",0.0698202044351199,"MM_Inield_G4_","Field",NA,"HD",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"46","sq14","MM_Inield_G3_",0.0692183369189438,"MM_Inield_G3_","Field",NA,"HD",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"47","sq15","MM_Inield_10_",0.0686033457352546,"MM_Inield_10_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"48","sq14","MM_Inield_7_",0.0680751854968995,"MM_Inield_7_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"49","sq27","MM_Inield_9_",0.0675198452302353,"MM_Inield_9_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"50","sq27","MM_Inield_1_",0.0656791376950204,"MM_Inield_1_","Field",NA,"ND",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"51","sq14","MM_Inield_10_",0.0651054472578146,"MM_Inield_10_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"52","sq14","MM_Inield_11_",0.063518471887478,"MM_Inield_11_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"53","sq27","MM_Inield_G6_",0.0630240796376844,"MM_Inield_G6_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"54","sq29","MM_Inield_8_",0.0625539453959024,"MM_Inield_8_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"55","sq29","MM_Inield_11_",0.0618097773301198,"MM_Inield_11_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"56","sq15","MM_Inield_G6_",0.0614882740684274,"MM_Inield_G6_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"57","sq8","MM_Inield_G2_",0.0614037415417275,"MM_Inield_G2_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"58","sq8","MM_Inield_G6_",0.0606699251154657,"MM_Inield_G6_","Field",NA,"HD",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"59","sq29","MM_Inield_7_",0.0593783556316569,"MM_Inield_7_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"60","sq15","MM_Inield_4_",0.0589772334561147,"MM_Inield_4_","Field",NA,"ND",NA,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"61","sq29","MM_Inield_3_",0.0588883719989483,"MM_Inield_3_","Field",NA,"ND",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"62","sq29","MM_Inield_G4_",0.0588177892708156,"MM_Inield_G4_","Field",NA,"HD",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"63","sq14","MM_Inield_G5_",0.0580816557491824,"MM_Inield_G5_","Field",NA,"HD",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"64","sq27","MM_Inield_G1_",0.0567368103377322,"MM_Inield_G1_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"65","sq29","MM_Inield_G3_",0.0565670188057241,"MM_Inield_G3_","Field",NA,"HD",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"66","sq29","MM_Inield_10_",0.0554560721476354,"MM_Inield_10_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"67","sq5","MM_Inield_G1_",0.0553924661856292,"MM_Inield_G1_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"68","sq29","MM_Inield_5_",0.055045331944106,"MM_Inield_5_","Field",NA,"ND",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"69","sq5","MM_Inield_11_",0.0546692327062125,"MM_Inield_11_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
"70","sq27","MM_Inield_G3_",0.052703122156932,"MM_Inield_G3_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"71","sq29","MM_Inield_G7_",0.0518465254346664,"MM_Inield_G7_","Field",NA,"HD",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"72","sq27","MM_Inield_G2_",0.0517358807659988,"MM_Inield_G2_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"73","sq14","MM_Inield_12_",0.0516870475060571,"MM_Inield_12_","Field",NA,"Few Small",NA,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"74","sq29","MM_Inield_9_",0.0514440571788297,"MM_Inield_9_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"75","sq27","MM_Inield_4_",0.0513490504808705,"MM_Inield_4_","Field",NA,"ND",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"76","sq27","MM_Inield_G4_",0.047522626918104,"MM_Inield_G4_","Field",NA,"HD",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae",NA,NA
"77","sq5","MM_Inield_8_",0.0472220960341617,"MM_Inield_8_","Field",NA,"Many Small",NA,FALSE,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae",NA,NA
