"","OTU","Sample","Abundance","sample_Sample","Experiment","Temperature","Treatment","Week","is.neg","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"29","sq15","Mat_13P_TCATTC_",0.0966587112171838,"Mat_13P_TCATTC_","Summer",22,"HD",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"30","sq19","MM_Nab_A12_",0.0956151663657467,"MM_Nab_A12_","Summer",22,"HD",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae",NA,NA
"31","sq29","Mat_25P_TCCCGA_",0.0951229105211406,"Mat_25P_TCCCGA_","Summer",22,"ND",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"32","sq8","MM_Nab_A3_",0.0942113512922393,"MM_Nab_A3_","Summer",22,"Few Large",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"33","sq64","MM_Nab_B11_",0.0934603067588067,"MM_Nab_B11_","Summer",22,"ND",5,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"34","sq14","Mat_29P_TCCCGA_",0.0926380983425691,"Mat_29P_TCCCGA_","Summer",26,"Few Large",3,FALSE,"Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfocapsaceae",NA,NA
"35","sq64","Mat_10P_TCATTC_",0.0914942984069494,"Mat_10P_TCATTC_","Summer",26,"Many Small",1,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"36","sq8","MM_Nab_A7_",0.0913517218558699,"MM_Nab_A7_","Summer",22,"Many Small",1,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"37","sq64","MM_Nab_A7_",0.0911862724243069,"MM_Nab_A7_","Summer",22,"Many Small",1,FALSE,"Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b",NA,NA
"38","sq29","Mat_17P_TCATTC_",0.0910241687111761,"Mat_17P_TCATTC_","Summer",22,"Few Large",3,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"39","sq15","MM_Nab_C4_",0.090259571893636,"MM_Nab_C4_","Summer",26,"Few Small",5,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"40","sq15","Mat_2P_TATAAT_",0.0902531969694687,"Mat_2P_TATAAT_","Summer",22,"ND",1,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"41","sq15","Mat_26P_TCCCGA_",0.0897706559014655,"Mat_26P_TCCCGA_","Summer",22,"ND",3,FALSE,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae",NA,NA
"42","sq29","MM_Nab_C12_",0.0896364048680928,"MM_Nab_C12_","Summer",26,"ND",5,FALSE,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
